Accession	Organism_Name	Species	Pangolin	PangoVersions	Genotype	Isolate	Length	Nuc_Completeness	Geo_Location	Country	Host	Organization	Org_location	Collection_Date	Molecule_type
OM638567	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_905	29779	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638568	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	AY.131	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_902	29792	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638569	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_908	29754	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638570	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_903	29790	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638571	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_901	29749	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638572	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_911	29784	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638573	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_897	29790	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638574	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_900	29754	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638575	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.17.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_899	29771	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638576	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_913	29784	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638577	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_912	29777	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638578	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_894	29766	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638579	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.17.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_891	29736	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638580	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_906	29779	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638581	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_895	29488	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638582	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_907	29754	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638583	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_898	29761	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638584	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_904	29773	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM617907	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_939	29500	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-16	ssRNA(+)
OM617908	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_938	29394	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-16	ssRNA(+)
OM617909	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_940	29497	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-24	ssRNA(+)
OM617910	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_942	29468	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-24	ssRNA(+)
OM617911	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_947	29474	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-24	ssRNA(+)
OM617912	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_946	29017	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-24	ssRNA(+)
OM617913	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_944	29479	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-24	ssRNA(+)
OM617915	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_950	29757	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-25	ssRNA(+)
OM617916	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_949	29765	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-25	ssRNA(+)
OM617917	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_953	29488	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-25	ssRNA(+)
OM617918	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_948	29491	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-25	ssRNA(+)
OM617919	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_951	29496	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-25	ssRNA(+)
OM617920	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_952	29483	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-25	ssRNA(+)
OM617922	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_954	29487	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-27	ssRNA(+)
OM617923	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_955	29783	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-27	ssRNA(+)
OM617924	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_959	29482	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-27	ssRNA(+)
OM617925	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_958	29780	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-27	ssRNA(+)
OM617926	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_957	29502	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-27	ssRNA(+)
OM617927	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_956	29469	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-27	ssRNA(+)
OM617928	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_961	29495	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-29	ssRNA(+)
OM617929	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_960	29765	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-29	ssRNA(+)
OM570229	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_868	29026	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-10	ssRNA(+)
OM570230	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_867	29782	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-10	ssRNA(+)
OM570231	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.37	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_874	29765	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM570232	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.17.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_870	29783	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM570233	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_871	29785	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM570234	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_866	29485	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM570235	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_872	29762	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM570236	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	AY.131	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_873	29804	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM570237	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_875	29784	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM570238	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_876	29785	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM570239	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_869	29791	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM570242	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.18	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_883	29794	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-17	ssRNA(+)
OM570243	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	AY.131	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_877	29793	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-17	ssRNA(+)
OM570244	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_889	29786	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-17	ssRNA(+)
OM570245	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_888	29781	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-17	ssRNA(+)
OM570246	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_884	29794	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-17	ssRNA(+)
OM570247	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_878	29781	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-17	ssRNA(+)
OM570248	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.17.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_880	29783	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-17	ssRNA(+)
OM570249	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_887	29764	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-17	ssRNA(+)
OM570250	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_882	29758	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-17	ssRNA(+)
OM570251	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_881	29781	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-17	ssRNA(+)
OM570252	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_879	29765	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-17	ssRNA(+)
OM570253	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_886	29765	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-17	ssRNA(+)
OM570254	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_885	29765	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-17	ssRNA(+)
OM570274	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.18	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		IR-2027	29743	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-01-02	ssRNA(+)
OM570275	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		TND-07-0639	29743	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-01-02	ssRNA(+)
OM570276	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		TND-04-0674	29743	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-01-03	ssRNA(+)
OM570277	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		TND-04-0675	29743	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-01-03	ssRNA(+)
OM570278	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		TND-09-0338	29729	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-01-06	ssRNA(+)
OM570279	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		TND-05-0426	29729	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-01-08	ssRNA(+)
OM570280	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		TND-04-0735	29729	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-01-09	ssRNA(+)
OM570281	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		TND-04-0736	29729	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-01-09	ssRNA(+)
OM570282	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		TND-04-0747	29714	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-01-10	ssRNA(+)
OM570283	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		TND-04-0748	29729	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-01-10	ssRNA(+)
OM535885	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.15	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_779	29782	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-12	ssRNA(+)
OM535886	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_865	29767	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-18	ssRNA(+)
OM535887	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_914	29795	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-18	ssRNA(+)
OM533378	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_771	29789	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-09	ssRNA(+)
OM533379	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_770	29786	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-09	ssRNA(+)
OM533380	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	AY.131	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_778	29806	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-09	ssRNA(+)
